"lname","fname","party","state","seat","district","ico.status","cand.gender","recipient.cfscore.dyn","contributor.cfscore","num.givers.total","total.receipts","prim.vote.pct","pwinner","gen.vote.pct","gwinner"
"petrilli","george","100","IL","federal:house","IL18","C","M",-1.056,-0.913,17,"16219.62 USD",0.001,"W",29.59,"L"
"chambers","gary","100","LA","federal:house","LA02","C","M",-1.208,-2.07,21959,"106626.67 USD",NA,NA,NA,NA
"finley","christopher","100","TN","federal:house","TN06","C","M",-0.854,NA,2,"0 USD",NA,NA,24.5594920099349,"L"
"hamilton","wendy","100","DC","federal:house","DC01","C","F",-0.837,NA,387,"5163.66 USD",NA,NA,NA,NA
"n","mckayla","100","MD","federal:house","MD05","C","F",-1.125,-1.131,8154,"0 USD",NA,NA,NA,NA
"jaye","brian","100","MI","federal:house","MI08","C","M",-1.076,-1.018,220,"201 USD",NA,NA,NA,NA
"mcginn","randi","100","NM","federal:house","NM01","C","F",-0.746,-0.881,159,"214888 USD",NA,NA,NA,NA
"turner","nina","100","OH","federal:house","OH11","C","F",NA,-0.88,30567,"646744.98 USD",NA,NA,NA,NA
"brown","shontel","100","OH","federal:house","OH11","C","F",-0.546,NA,5526,"40132.75 USD",NA,NA,NA,NA
"johnson","jeffrey","100","OH","federal:house","OH11","C","M",-0.876,NA,235,"5700 USD",NA,NA,NA,NA
"hyman","mal","100","SC","federal:house","SC07","C","M",-1.132,-1.05,822,"0 USD",NA,NA,NA,NA
"linn","max","200","ME","federal:senate","MES20","C","M",2.181,2.089,2,"544443.57 USD",NA,"L",1.65,"L"
"ronnebeck","steve","200","AZ","federal:house","AZ03","C","M",1.515,NA,5,"4880 USD",NA,NA,NA,NA
"ireland","jonathan","100","AZ","federal:house","AZ05","C","M",-1.143,NA,12,"0 USD",0.1059,"L",NA,NA
"tyler","john","100","CA","federal:house","CA05","C","M",-1.037,-1.117,6,"3006 USD",0.0952,"L",NA,NA
"campbell","samantha","100","CA","federal:house","CA15","O","F",-1.206,NA,3,"0 USD",0.0983,"L",NA,NA
"lackey","courtney","200","CA","federal:house","CA25","C","F",1.049,NA,6,"4718 USD",NA,NA,NA,NA
"carroll","brian","100","CA","federal:house","CA30","C","M",-0.413,NA,25,"0 USD",0.035,"L",NA,NA
"scott","keanakay","100","CA","federal:house","CA34","C","U",-1.18,NA,7,"0 USD",0.0555,"L",NA,NA
"mcleod","jalen","100","CA","federal:house","CA47","C","M",-1.103,NA,29,"0 USD",0.087,"L",NA,NA
"ryans","jerlilia","100","CA","federal:house","CA52","C","U",-1.121,-1.018,4,"0 USD",NA,NA,NA,NA
"bolling","shane","200","CO","federal:house","CO01","C","M",1.548,1.592,9,"13657.96 USD",1,"W",23.53,"L"
"bocchino","brandon","100","CO","federal:house","CO05","C","M",1.394,NA,9,"0 USD",NA,NA,NA,NA
"morris","matthew","200","DE","federal:house","DE01","C","M",2.174,2.263,7,"12470.02 USD",0.2619,"L",NA,NA
"rowe","richard","100","FL","federal:house","FL03","O","M",-1.029,NA,80,"0 USD",NA,NA,NA,NA
"nolan","john","328","FL","federal:house","FL06","C","M",-0.547,-0.534,26,"5008.47 USD",NA,"L",0.03,"L"
"walls windhauser","angela","200","FL","federal:house","FL08","C","F",1.505,NA,2,"0 USD",NA,NA,NA,NA
"aarons","adam","100","FL","federal:house","FL21","C","M",-0.445,NA,4,"0 USD",NA,NA,NA,NA
"mohammad","imtiaz","100","FL","state:lower","FL22","C","M",-1.011,-0.666,153,"0 USD",NA,NA,NA,NA
"escobar","yadira","100","FL","federal:house","FL25","C","F",-1.121,NA,19,"2196.9 USD",NA,NA,NA,NA
"polo","frank","200","FL","federal:house","FL27","C","M",NA,1.882,7,"4606.12 USD",0.001,"W",0.02,"L"
"harbin","blake","200","GA","federal:house","GA06","C","M",1.385,NA,92,"0 USD",0.0487,"L",NA,NA
"tolin","tyler","200","GA","federal:house","GA09","O","M",-1.167,-1.179,34,"2005 USD",NA,NA,NA,NA
"waites","keisha","100","GA","federal:house","GA13","C","F",-1.613,-0.971,158,"875 USD",0.2549,"L",NA,NA
"nuckolls","haden","100","GA","federal:house","GA11","C","M",-1.175,NA,60,"3043.42 USD",NA,NA,NA,NA
"famera","ashley","100","HI","federal:house","HI02","O","F",-0.953,NA,41,"0 USD",0.0606,"L",NA,NA
"leatherwood","darnell","100","IL","federal:house","IL01","C","M",-1.166,NA,6,"0 USD",NA,NA,NA,NA
"matthews","ameena","100","IL","federal:house","IL01","C","F",-1.121,-1.106,69,"0 USD",0.0785,"L",NA,NA
"ellison","allen","100","FL","federal:senate","FLS22","C","M",-0.992,-1.056,1841,"84005.43 USD",NA,NA,NA,NA
"lane","jacob","200","IL","federal:house","IL15","O","M",-0.057,NA,13,"0 USD",NA,NA,NA,NA
"farrar","ryan","100","IN","federal:house","IN01","O","M",-1.119,-1.04,15,"0 USD",0.0033,"L",NA,NA
"bergeron","dion","200","IN","state:lower","IN01","C","M",1.559,1.469,16,"0 USD",NA,NA,NA,NA
"walker","bradley","200","NC","federal:senate","NCS22","C","M",1.225,1.386,3426,"893357.37 USD",NA,NA,NA,NA
"webster","mike","100","IN","federal:house","IN08","C","M",-0.984,NA,3,"0 USD",0.3256,"L",NA,NA
"dorris","dale","100","IN","federal:house","IN09","C","M",-1.131,-1.131,54,"1381.05 USD",0.1578,"L",NA,NA
"eddings","waymen","200","KY","federal:house","KY03","C","U",1.442,1.443,9,"3025.45 USD",0.1556,"L",NA,NA
"harris","braylon","100","LA","federal:house","LA03","C","M",-0.952,NA,23,"23006.09 USD",NA,"L",17.89,"L"
"lemelle","martin","100","LA","federal:house","LA05","C","M",-0.824,-0.569,394,"175143.56 USD",NA,"L",10.4,"L"
"campbell","rayla","200","MA","federal:house","MA07","C","F",1.395,1.369,722,"62880.76 USD",0.001,"W",0.23,"L"
"pingley","jennifer","100","MD","federal:house","MD01","C","F",-1.091,NA,15,"60 USD",0.2,"L",NA,NA
"gosnell","mark","100","MD","federal:house","MD07","C","M",-0.786,-0.849,10,"96.05 USD",0.005,"L",NA,NA
"oelke","elena","200","MI","federal:house","MI06","C","F",1.61,1.429,43,"0 USD",0.3734,"L",NA,NA
"singh","hirsh","200","NJ","federal:senate","NJS18","C","U",1.329,1.374,1706,"694015.9 USD",NA,NA,NA,NA
"adan","leila","100","MN","federal:house","MN05","C","F",-1.015,NA,4,"0 USD",NA,NA,NA,NA
"lester","leslie","100","MN","federal:house","MN05","C","F",1.247,NA,6,"0 USD",0.0071,"L",NA,NA
"crichton","oreta","100","AS","federal:house","AS01","C","F",-0.997,-1.001,45,"36273 USD",NA,"L",14.55,"L"
"millado","joe","200","FL","federal:house","FL03","O","M",1.56,1.66,19,"25372.06 USD",0.0136,"L",NA,NA
"west","charles","100","MO","federal:house","MO06","C","M",-1.087,NA,200,"0 USD",0.1573,"L",NA,NA
"hall","kwanza","100","GA","federal:house","GA05","C","M",-0.277,-0.714,678,"242596.76 USD",NA,NA,NA,NA
"franklin","robert","100","GA","federal:house","GA05","C","M",-0.68,-0.79,288,"362642.69 USD",NA,NA,NA,NA
"lee","katelyn","100","MS","federal:house","MS03","C","F",-1.035,-0.853,2,"186.97 USD",0.3603,"L",NA,NA
"snowden","phillip","100","LA","federal:house","LA05","O","M",-1.143,-1.153,16,"29481 USD",NA,"L",3.05,"L"
"ross","gena","100","MO","federal:house","MO06","C","F",-1.002,NA,104,"10170.21 USD",0.3283,"W",30.83,"L"
"richards","audrey","328","MO","federal:house","MO07","C","F",0.265,-0.138,13,"7985 USD",0.001,"W",0.35,"L"
"parietti","mike","328","NY","federal:house","NY17","C","M",-1.318,-1.141,5,"62320.27 USD",NA,NA,NA,NA
"elizabeth","terwilliger","328","PA","federal:house","PA12","C","U",1.129,NA,29,"6211.4 USD",NA,NA,NA,NA
"ward","christopher","100","NC","federal:house","NC07","C","M",-1.113,-1.027,58,"16260.36 USD",0.4632,"W",39.59,"L"
"mcclendon","marty","200","WA","federal:house","WA10","O","M",1.362,1.377,814,"55374 USD",NA,NA,NA,NA
"elworth","mark","100","NE","federal:house","NE03","C","M",-0.963,NA,2,"108.79 USD",1,"W",17.68,"L"
"harrington","ricky","328","AR","federal:senate","ARS20","C","M",-0.504,NA,177,"79563.9 USD",0.001,"W",33.47,"L"
"walsh","timothy","200","NJ","federal:house","NJ09","C","M",1.757,NA,6,"5093.48 USD",0.2582,"L",NA,NA
"prempeh","william","200","NJ","federal:house","NJ09","C","M",1.093,1.621,2330,"44268.95 USD",0.7418,"W",31.86,"L"
"bakari","kamau","328","NV","federal:house","NV01","C","M",1.47,1.4,7,"7105 USD",NA,NA,NA,NA
"dunson","leo","200","NV","federal:house","NV04","C","M",1.534,1.629,143,"0 USD",NA,NA,NA,NA
"dayr","steffanie","100","NV","federal:house","NV04","C","F",-1.078,-1.029,6,"1393.71 USD",0.0728,"L",NA,NA
"burger","harry","328","NY","federal:house","NY02","C","M",-1.396,-1.068,3,"2429.63 USD",1,"W",1.03,"L"
"stevenson","dylan","200","NY","federal:house","NY10","C","M",1.648,1.705,4,"2561 USD",NA,NA,NA,NA
"pabon","julio","100","NY","federal:house","NY15","O","M",-0.751,-0.863,62,"0.96 USD",0.0041,"L",NA,NA
"bradshaw","marquita","100","TN","federal:senate","TNS20","O","F",-1.046,-0.983,14603,"1628980.09 USD",0.3551,"W",35.16,"L"
"wilson","kevin","328","NY","federal:house","NY25","C","M",0.455,0.504,7,"5128.33 USD",1,"W",1.53,"L"
"potter","quentin","100","OH","federal:house","OH07","C","M",-1.072,-1.057,76,"13895.81 USD",1,"W",29.17,"L"
"hoffman","madelyn","328","NJ","federal:senate","NJS20","C","F",-1.231,NA,7,"6218.86 USD",0.001,"W",0.86,"L"
"silk","joseph","200","OK","federal:house","OK02","C","M",0.579,0.925,158,"29015.66 USD",0.127,"L",NA,NA
"forbes","wesley","100","OK","federal:house","OK04","C","M",-0.822,NA,4,"0 USD",NA,NA,NA,NA
"slemmons","david","100","OK","federal:house","OK04","C","M",-1.005,NA,30,"0 USD",0.1942,"L",NA,NA
"merrick","jake","200","OK","federal:house","OK05","O","M",1.701,NA,220,"8564.85 USD",0.0255,"L",NA,NA
"heuertz","nick","100","OR","federal:house","OR02","O","M",-1.109,NA,33,"0 USD",0.3099,"L",NA,NA
"christensen","chris","200","OR","federal:house","OR01","C","M",1.627,1.726,8,"243.72 USD",0.5585,"W",35.21,"L"
"vaughn","chris","100","OR","federal:house","OR02","O","M",-1.275,NA,2,"0 USD",0.1824,"L",NA,NA
"reynolds","blair","100","OR","federal:house","OR05","C","M",-1.039,-1.068,35,"4219.8 USD",0.0745,"L",NA,NA
"snow","salem","100","PA","federal:house","PA02","C","M",-1.161,NA,422,"3219.22 USD",NA,NA,NA,NA
"desantis","edward","100","PA","federal:house","PA16","C","M",-1.006,NA,2,"0 USD",NA,NA,NA,NA
"sonnek","luisa","100","PA","federal:house","PA16","C","F",-1.139,-1.123,4,"0 USD",NA,NA,NA,NA
"bivens","lydia","100","TN","federal:house","TN04","C","F",-1.132,NA,85,"0 USD",0.1826,"L",NA,NA
"mattlin","meredith","100","TN","federal:house","TN05","C","F",-1.137,-1.152,47,"0 USD",NA,NA,NA,NA
"fallon","patrick","200","TX","federal:house","TX04","C","M",1.344,1.276,2056,"257176.31 USD",0.5655,"W",76.882327819895,"W"
"hernandez","elizabeth","100","TX","federal:house","TX08","C","F",-1.044,-1.053,188,"17407.28 USD",0.5985,"W",25.47,"L"
"worthy","monique","200","TX","federal:house","TX13","O","F",1.639,NA,119,"0 USD",0.0074,"L",NA,NA
"gassaway","timothy","100","TX","federal:house","TX13","O","M",-0.98,-0.984,5,"4519.75 USD",0.2318,"L",NA,NA
"hernandez cigarrusita","patrick","200","TX","federal:house","TX16","C","M",1.459,NA,17,"0 USD",0.0675,"L",NA,NA
"morgan","clint","200","TX","federal:house","TX22","O","M",1.249,1.332,10,"21760 USD",NA,NA,NA,NA
"bauer","mark","328","TX","federal:house","TX24","O","M",0.131,0.169,6,"26341.78 USD",NA,"L",0.85,"L"
"metzger","deanna","200","TX","federal:house","TX24","O","F",1.901,1.697,284,"24030 USD",NA,NA,NA,NA
"hamilton","darren","328","TX","federal:house","TX24","O","M",1.189,NA,3,"570 USD",0.001,"W",1.64,"L"
"zavala","diego","100","TX","federal:house","TX34","C","M",-1.196,NA,47,"0 USD",0.1845,"L",NA,NA
"sharon","jennifer","200","TX","federal:house","TX35","C","F",1.525,NA,18,"19011.1 USD",0.3712,"W",29.95,"L"
"sloot","sarena","200","WA","federal:house","WA04","C","F",1.733,NA,6,"5126.11 USD",0.0668,"L",NA,NA
"grey bull","lynnette","100","WY","federal:house","WY01","C","F",-1.047,NA,2568,"134648.22 USD",0.6003,"W",24.58,"L"
"fox","richard","200","CA","federal:house","CA18","C","M",1.056,1.069,22,"0 USD",0.1218,"L",NA,NA
"gustafson","claire","200","NJ","federal:house","NJ01","C","F",1.415,0.91,119,"36519.78 USD",1,"W",37.52,"L"
"james","hannah","100","CA","federal:house","CA19","C","F",-1.143,NA,6,"0 USD",NA,NA,NA,NA
"hidalgo","juan","200","CA","federal:house","CA51","C","M",1.465,1.468,146,"0 USD",NA,NA,31.6952445377562,"L"
"cardenas","beatrice","200","CA","federal:house","CA27","C","F",0.095,NA,7,"0 USD",0.1172,"L",NA,NA
"hood","brandon","100","IN","federal:house","IN09","C","M",-1.063,NA,29,"0 USD",0.1393,"L",NA,NA
"robinson","herb","100","MA","federal:house","MA04","C","M",-0.937,-0.893,9,"1132.33 USD",NA,NA,NA,NA
"rogers","tim","200","WI","federal:house","WI04","C","M",1.522,1.478,43,"0 USD",0.5017,"W",22.7,"L"
"west","kanye","328","00","federal:president","PRES","C","",0.088,0.111,2900,"14538989.74 USD",NA,NA,NA,NA
"goldfischer","david","100","CO","federal:senate","COS20","C","M",-1.033,NA,16,"0 USD",NA,NA,NA,NA
"perkins","adrian","100","LA","federal:senate","LAS20","C","M",-0.979,-0.72,22926,"2806583.4 USD",NA,"L",19.02,"L"
"stock","andrew","100","NE","federal:senate","NES20","C","M",-1.093,NA,10,"0 USD",0.1138,"L",NA,NA
"walsh","bob","328","NM","federal:senate","NMS20","O","M",0.273,0.617,8,"8326.01 USD",1,"W",2.65,"L"
"hart","clara","100","SD","federal:senate","SDS20","C","F",-0.727,-0.918,17,"2292.26 USD",NA,NA,NA,NA
"morrell","kent","200","TN","federal:senate","TNS20","O","M",-0.17,NA,25,"2339.91 USD",0.2664,"L",NA,NA
"knapp","mary","328","VA","federal:senate","VAS20","C","F",1.369,NA,2,"0 USD",NA,NA,NA,NA
"liew","sarah","200","CA","federal:senate","CAS22","C","F",2.278,2.305,10,"0 USD",NA,NA,NA,NA
"smith","michelle","100","MD","federal:senate","MDS22","C","F",-1.746,NA,3,"1736.22 USD",NA,NA,NA,NA
"sare","diane","328","NY","federal:senate","NYS22","C","F",0.117,NA,703,"10535 USD",NA,NA,NA,NA
"sleister","nicolaus","100","WA","federal:senate","WAS22","C","M",-1.511,-1.299,79,"2680.24 USD",NA,NA,NA,NA
"agbede","akinyemi","100","CA","federal:senate","CAS22","C","U",NA,NA,27,"0 USD",NA,NA,NA,NA
"billiot","beryl","328","LA","federal:senate","LAS20","C","F",NA,0.575,9,"6374.6 USD",NA,"L",0.84,"L"
"mcguigan","john","100","PA","federal:senate","PAS22","C","M",-0.893,-0.807,126,"112290.47 USD",NA,NA,NA,NA
"castorani","john","200","AL","federal:house","AL01","O","M",1.216,1.302,13,"26809.68 USD",0.0148,"L",NA,NA
"taylor","jessica","200","AL","federal:house","AL02","O","F",1.297,NA,1116,"476139.02 USD",0.1988,"L",NA,NA
"elliott","joyce","100","AR","federal:house","AR02","C","F",-0.964,-0.716,24874,"3543886.52 USD",1,"W",44.63,"L"
"ruden","noran","200","AZ","federal:house","AZ02","C","M",1.481,1.567,70,"304518.3 USD",0.3356,"L",NA,NA
"quilter","peter","100","AZ","federal:house","AZ02","C","M",-1.135,-1.018,19,"17806 USD",0.2367,"L",NA,NA
"ward","anne","200","AZ","federal:house","AZ04","C","F",1.329,1.418,175,"110341.74 USD",0.3687,"L",NA,NA
"ramos","javier","100","AZ","federal:house","AZ05","C","M",-1.549,-1.348,5,"7072.82 USD",0.3938,"L",NA,NA
"mangas moniz","rachel","100","CA","federal:house","CA02","C","F",-0.98,-1.018,12,"9966.51 USD",NA,NA,NA,NA
"amador","antonio","200","CA","federal:house","CA09","C","M",1.214,1.158,412,"52225 USD",0.3028,"L",42.42,"L"
"blevins","ryan","100","CA","federal:house","CA10","C","M",-0.999,-1.033,81,"6373.59 USD",0.0224,"L",NA,NA
"tandon","ritesh","200","CA","federal:house","CA17","C","M",-0.304,-0.108,284,"178536.32 USD",0.2138,"L",28.65,"L"
"papadopoulos","george","200","CA","federal:house","CA25","C","M",1.282,NA,64,"135023.92 USD",0.0176,"L",NA,NA
"lozano","david","200","CA","federal:house","CA25","C","M",1.473,NA,18,"8745 USD",0.0401,"L",NA,NA
"uygur","cenk","100","CA","federal:house","CA25","C","U",-1.115,NA,14402,"0 USD",0.0591,"L",NA,NA
"wright","joanne","200","CA","federal:house","CA34","C","F",1.252,1.394,9,"32291.15 USD",0.0774,"L",NA,NA
"cruz","erin","200","CA","federal:house","CA36","C","F",1.514,1.302,46,"54357.6 USD",0.2136,"L",39.66,"L"
"delgado","antonio","200","CA","federal:house","CA40","C","M",0.963,NA,231,"85014.29 USD",0.1367,"L",27.26,"L"
"issa","darrell","200","CA","federal:house","CA50","O","M",1.357,1.19,5604,"16813993.53 USD",0.2315,"W",53.95,"W"
"debello","james","200","CA","federal:house","CA52","C","M",1.063,1.348,149,"433484.35 USD",0.3239,"L",38.42,"L"
"meza","annette","100","CA","federal:house","CA53","O","F",-1.157,-1.168,15,"10674.1 USD",0.0222,"L",NA,NA
"oristian","michael","200","CA","federal:house","CA53","O","M",1.579,1.611,32,"18601.81 USD",0.074,"L",NA,NA
"winn","charles","200","CO","federal:house","CO02","C","M",1.46,1.39,112,"100537.58 USD",1,"W",35.4,"L"
"milton","christopher","328","CO","federal:house","CO03","C","M",-0.68,NA,13,"24026.42 USD",0.001,"W",0.99,"L"
"griffin","james","200","CT","federal:house","CT01","C","M",0.833,0.763,26,"26927.34 USD",0.427,"L",NA,NA
"streicker","margaret","200","CT","federal:house","CT03","C","F",0.477,0.477,658,"2016070.48 USD",0.001,"W",38.01,"L"
"meehan","ryan","200","CT","federal:house","CT05","C","M",1.298,1.352,103,"45677.14 USD",NA,"L",NA,NA
"merk","gregory","200","FL","federal:house","FL01","C","M",0.958,NA,21,"20046.08 USD",0.0946,"L",NA,NA
"christensen","adam","100","FL","federal:house","FL03","O","M",-1.052,NA,2866,"251860.59 USD",0.3449,"W",42.86,"L"
"rollins","gavin","200","FL","federal:house","FL03","O","M",1.327,1.428,119,"186934.21 USD",0.1526,"L",NA,NA
"st george","james","200","FL","federal:house","FL03","O","M",0.823,1.135,329,"1114214.98 USD",0.1411,"L",NA,NA
"chase","todd","200","FL","federal:house","FL03","O","M",1.069,1.088,339,"401859.27 USD",0.095,"L",NA,NA
"theus","david","200","FL","federal:house","FL03","O","M",0.937,1.009,20,"16330.97 USD",0.0218,"L",NA,NA
"adler","gary","200","FL","federal:house","FL05","C","M",1.306,1.399,49,"146944.18 USD",0.5212,"W",34.87,"L"
"wagoner","john","200","FL","federal:house","FL05","C","M",1.382,1.471,48,"62984.3 USD",0.4788,"L",NA,NA
"valentin","leo","200","FL","federal:house","FL07","C","M",1.096,NA,424,"1045426.18 USD",0.3863,"W",43.24,"L"
"diangelus","jean","200","FL","federal:house","FL07","C","F",1.607,NA,15,"37333.68 USD",NA,NA,NA,NA
"wright","christopher","200","FL","federal:house","FL09","C","M",1.887,1.795,10,"18915.31 USD",0.2266,"L",NA,NA
"vessio","nicholas","200","FL","federal:house","FL18","C","M",1.362,1.45,4,"99267.54 USD",0.1396,"L",NA,NA
"keith","pamela","100","FL","federal:house","FL18","C","F",-0.99,-0.971,9969,"1674663.15 USD",0.7962,"W",41.51,"L"
"eagle","dane","200","FL","federal:house","FL19","O","M",1.169,0.83,1741,"0 USD",0.2185,"L",NA,NA
"severson","daniel","200","FL","federal:house","FL19","O","M",1.482,1.575,36,"142554.2 USD",0.0308,"L",NA,NA
"fitzenhagen","heather","200","FL","federal:house","FL19","O","F",-0.008,0.818,2053,"116835.76 USD",NA,NA,NA,NA
"oconnell","ford","200","FL","federal:house","FL19","O","M",1.072,1.308,257,"377171 USD",NA,NA,NA,NA
"kowal","daniel","200","FL","federal:house","FL19","O","M",0.914,0.985,34,"60700 USD",0.0109,"L",NA,NA
"mclaughlin","christy","200","FL","federal:house","FL19","O","F",1.198,NA,117,"0 USD",0.0408,"L",NA,NA
"felton","elizabeth","200","FL","federal:house","FL21","C","F",0.759,1.221,18,"42379.89 USD",0.0709,"L",NA,NA
"degrammont","vic","200","FL","federal:house","FL20","C","M",1.67,1.68,48,"14474.33 USD",0.4798,"L",NA,NA
"bluemling","michael","200","FL","federal:house","FL21","C","M",1.194,1.578,12,"5430.83 USD",NA,NA,NA,NA
"weiss","guido","100","FL","federal:house","FL21","C","M",-0.847,NA,76,"24428.32 USD",0.1402,"L",NA,NA
"flynn","fran","200","FL","federal:house","FL22","C","F",1.417,1.386,27,"193724.02 USD",0.2607,"L",NA,NA
"kroske","michael","200","FL","federal:house","FL23","C","M",2.07,2.162,21,"20909.82 USD",0.4872,"L",NA,NA
"tarrio","enrique","200","FL","federal:house","FL27","C","M",1.673,NA,7,"9526.1 USD",NA,NA,NA,NA
"spicer","lavern","200","FL","federal:house","FL24","C","U",1.331,1.606,3475,"39625.3 USD",1,"W",20.4,"L"
"cole","donald","200","GA","federal:house","GA02","C","M",1.424,1.504,176,"165296.14 USD",0.5341,"W",40.88,"L"
"stanton king","angela","200","GA","federal:house","GA05","C","F",1.424,1.516,292,"310545.06 USD",1,"W",14.85,"L"
"almonord","valbrun","100","GA","federal:house","GA03","C","U",-1.061,-1.086,407,"40761.87 USD",1,"W",34.95,"L"
"barthelemy","mykel","200","GA","federal:house","GA06","C","M",1.567,NA,18,"7056 USD",0.0431,"L",NA,NA
"wilson","dan","100","GA","federal:house","GA09","O","M",-0.572,NA,15,"23132 USD",0.2523,"L",NA,NA
"wilkinson","john","200","GA","federal:house","GA09","O","M",1.411,1.365,635,"174743 USD",0.1162,"L",NA,NA
"underwood","ethan","200","GA","federal:house","GA09","O","M",1.472,1.396,161,"334150 USD",0.0863,"L",NA,NA
"ferguson","andrew","100","GA","federal:house","GA10","C","M",-1.229,-1.102,177,"19901.51 USD",0.3426,"L",NA,NA
"johnson","elizabeth","100","GA","federal:house","GA12","C","F",-0.926,-0.969,1029,"72360.98 USD",0.8364,"W",41.62,"L"
"hites","becky","200","GA","federal:house","GA13","C","F",1.473,1.546,49,"63879.77 USD",0.6865,"W",22.6,"L"
"cowan","john","200","GA","federal:house","GA14","O","M",1.246,1.259,810,"1459715.24 USD",0.2101,"L",NA,NA
"cooke","kevin","200","GA","federal:house","GA14","O","M",1.514,1.418,296,"147624.1 USD",0.0616,"L",NA,NA
"hembree","bill","200","GA","federal:house","GA14","O","M",1.67,1.337,620,"256975 USD",0.0642,"L",NA,NA
"underwood","robert","100","GU","federal:house","GU01","C","M",-0.226,-0.462,226,"492194.8 USD",NA,NA,NA,NA
"akana","joseph","200","HI","federal:house","HI02","O","M",0.827,0.875,44,"64517.78 USD",0.4408,"W",30.88,"L"
"soto","rudy","100","ID","federal:house","ID01","C","M",-0.931,-0.978,1604,"305168.95 USD",0.6576,"W",28.65,"L"
"broad","adam","100","IL","federal:house","IL10","C","M",-1.016,-0.926,27,"7625.66 USD",NA,NA,NA,NA
"smith","stefanie","100","IL","federal:house","IL13","C","F",-1.169,NA,97,"11770.47 USD",0.2354,"L",NA,NA
"evans","jerry","200","IL","federal:house","IL14","C","M",1.468,1.511,688,"75035.24 USD",0.0501,"L",NA,NA
"wolff","kerry","200","IL","federal:house","IL15","O","M",1.322,1.408,9,"12743.8 USD",0.1337,"L",NA,NA
"weaver","erika","100","IL","federal:house","IL15","O","F",-1.058,-0.94,397,"58744.21 USD",0.5191,"W",26.55,"L"
"mrvan","frank","100","IN","federal:house","IN01","O","M",-0.585,-0.583,7410,"590634.89 USD",0.3285,"W",56.64,"W"
"haake","sabrina","100","IN","federal:house","IN01","O","F",-1.029,-1.011,495,"294263.94 USD",0.0485,"L",NA,NA
"scaife","delano","200","IN","federal:house","IN01","O","M",-0.872,0.355,10,"6805.46 USD",0.0502,"L",NA,NA
"costello","scott","100","IN","federal:house","IN01","O","M",-1.065,-1.083,15,"10723.72 USD",0.0125,"L",NA,NA
"abernathy","kent","200","IN","federal:house","IN05","O","M",1.244,1.347,226,"125322.74 USD",0.0564,"L",NA,NA
"coldiron","chip","100","IN","federal:house","IN03","C","M",-1.019,-1.009,850,"97264.43 USD",0.3889,"W",32.16,"L"
"spartz","victoria","200","IN","federal:house","IN05","","F",1.423,1.386,6595,"3270606.27 USD",0.397,"W",50.02,"W"
"smith","susan","200","IN","federal:house","IN07","C","F",1.432,1.544,111,"62905.1 USD",0.4308,"W",37.56,"L"
"marsili","thomasina","100","IN","federal:house","IN08","C","F",-1.037,-0.942,276,"68734.44 USD",0.3627,"W",29.85,"L"
"waymaster","troy","200","KS","federal:house","KS01","O","M",1.262,1.142,533,"219942.68 USD",NA,NA,NA,NA
"perry","robert","328","KY","federal:house","KY02","C","M",1.089,1.11,6,"12798.41 USD",0.001,"W",2.11,"L"
"foster","adrienne","200","KS","federal:house","KS03","C","F",1.458,1.543,789,"456638.79 USD",0.2008,"L",NA,NA
"dela isla","michelle","100","KS","federal:house","KS02","C","F",-0.887,NA,3973,"1840565.7 USD",0.7503,"W",40.63,"L"
"robinson","randall","200","LA","federal:house","LA05","O","M",0.932,1.002,107,"179902.87 USD",NA,"L",7.72,"L"
"serrano","gerardo","200","KY","federal:house","KY03","C","M",2.271,2.299,6,"53755.35 USD",0.0885,"L",NA,NA
"grossman","rebecca","100","MA","federal:house","MA04","C","F",-0.641,-0.633,1622,"1471156.88 USD",0.1811,"L",NA,NA
"mermell","jesse","100","MA","federal:house","MA04","C","M",-0.842,NA,3051,"1238828.14 USD",0.2104,"L",NA,NA
"auchincloss","jake","100","MA","federal:house","MA04","C","M",-0.328,-0.524,4450,"2873219.33 USD",0.224,"W",60.83,"W"
"cavell","david","100","MA","federal:house","MA04","C","M",-0.897,-0.885,1067,"424265.67 USD",0.0158,"L",NA,NA
"matthew","nick","100","MA","federal:house","MA04","C","M",-1.097,-0.84,110,"6283 USD",NA,NA,NA,NA
"zannetos","christopher","100","MA","federal:house","MA04","C","M",-0.322,-0.422,942,"975571.34 USD",0.0325,"L",NA,NA
"mcquilken","angus","100","MA","federal:house","MA06","C","M",-0.85,-0.724,1809,"123669.4 USD",0.0966,"L",NA,NA
"linos","natalia","100","MA","federal:house","MA04","C","F",-0.806,-0.821,1192,"460096.36 USD",0.1163,"L",NA,NA
"goldstein","robbie","100","MA","federal:house","MA08","O","U",-0.982,NA,2607,"593012.33 USD",0.3347,"L",NA,NA
"simpson","jim","200","MD","federal:house","MD02","C","M",1.435,NA,64,"60707.07 USD",0.1529,"L",NA,NA
"sylvia","mark","100","MA","federal:house","MA09","C","M",-1.034,-0.961,63,"35861 USD",NA,NA,NA,NA
"palombi","christopher","200","MD","federal:house","MD05","C","M",1.384,NA,181,"47061.87 USD",0.3599,"W",30.97,"L"
"bero","maxwell","100","MD","federal:house","MD06","C","M",-1.147,NA,69,"6016.98 USD",0.2761,"L",NA,NA
"branch","talmadge","100","MD","federal:house","MD07","C","M",-0.559,-0.465,1662,"93540 USD",NA,NA,NA,NA
