"lname","fname","party","state","seat","district","ico.status","cand.gender","recipient.cfscore.dyn","contributor.cfscore","num.givers.total","total.receipts","prim.vote.pct","pwinner","gen.vote.pct","gwinner"
"baird","james","200","IN","federal:house","IN04","I","M",1.223,1.352,1202,"371674 USD",1,"W",66.62,"W"
"underwood","lauren","100","IL","federal:house","IL14","I","F",-1.038,-1.001,41684,"7862452.21 USD",1,"W",50.67,"W"
"clark","anthony","100","IL","federal:house","IL07","C","M",-1.134,-1.132,2043,"145516.16 USD",0.1298,"L",NA,NA
"garcia","jesus","100","IL","federal:house","IL04","I","M",-0.74,-0.789,5500,"838108.77 USD",1,"W",84.05,"W"
"newman","marie","100","IL","federal:house","IL03","C","F",-1.019,-0.981,26597,"2835512.46 USD",0.4726,"W",56.38,"W"
"smith","michael","100","ID","federal:house","ID01","O","M",-1.193,NA,18,"0 USD",NA,NA,NA,NA
"cowen","martin","328","GA","federal:house","GA13","C","M",1.468,1.473,14,"17992.96 USD",0.001,"W",0.02,"L"
"cooper","james","328","GA","federal:house","GA08","C","M",-1.292,-1.249,6,"8542.09 USD",0.001,"W",0.02,"L"
"bourdeaux","carolyn","100","GA","federal:house","GA07","C","F",-0.948,-0.952,14592,"5303913.83 USD",0.5278,"W",51.39,"W"
"mcbath","lucia","100","GA","federal:house","GA06","I","F",-0.992,NA,51944,"8678503.63 USD",1,"W",54.59,"W"
"ring","lisa","100","GA","federal:house","GA01","C","F",-1.143,-1.09,1055,"79075.81 USD",0.4601,"L",NA,NA
"steube","greg","200","FL","federal:house","FL17","I","M",1.223,1.284,5343,"768470.93 USD",1,"W",64.63,"W"
"spano","vincent","200","FL","federal:house","FL15","I","M",1.342,1.307,2244,"1130466.71 USD",0.4877,"L",NA,NA
"buck","george","200","FL","federal:house","FL13","C","M",1.503,1.598,890,"1136065.13 USD",0.2579,"L",NA,NA
"waltz","michael","200","FL","federal:house","FL06","I","M",1.231,1.374,11480,"2869733.18 USD",1,"W",60.61,"W"
"peters","brandon","100","FL","federal:house","FL03","C","M",-0.601,-0.801,966,"218 USD",NA,NA,NA,NA
"routledge","root","100","CO","federal:house","CO03","C","U",-1.071,-1.056,22,"7429.1 USD",NA,NA,NA,NA
"campa najjar","ammar","100","CA","federal:house","CA50","C","M",-1.057,-1.058,56540,"6429130.92 USD",0.3647,"W",46.05,"L"
"mendoza","sandra","100","CA","federal:house","CA34","C","F",-0.761,-0.94,179,"840.12 USD",NA,NA,NA,NA
"lutz","mary","100","CA","federal:house","CA32","C","F",-1.189,-1.002,233,"34769.22 USD",NA,NA,NA,NA
"denney","audrey","100","CA","federal:house","CA01","C","F",-1.097,-1.066,10421,"2479555.32 USD",0.3936,"L",43.01,"L"
"musselwhite","robert","100","AZ","federal:house","AZ08","C","M",-1.059,-0.969,30,"19678.28 USD",0.1449,"L",NA,NA
"smith","d adam","100","WA","federal:house","WA09","I","M",-0.467,-0.754,5754,"1327196.11 USD",0.7359,"W",74.14,"W"
"mceachin","aston","100","VA","federal:house","VA04","I","M",-0.748,-0.777,4123,"986394.45 USD",0.7995,"W",61.62,"W"
"scott","robert","100","VA","federal:house","VA03","I","M",-0.692,-0.835,3482,"875926.24 USD",1,"W",68.35,"W"
"arrington","jodey","200","TX","federal:house","TX19","I","M",1.254,1.304,3909,"2535447.58 USD",0.8944,"W",74.78,"W"
