"geoid","party_dem","party_npp","party_rep","voters_gender_m","voters_gender_f","voters_gender_unknkown","commercialdatall_gun_owner","commercialdatall_home_owner_or_renter_likely_homeowner","commercialdatall_home_owner_or_renter_likely_renter","commercialdata_upscalebuyerinhome_avg","commercialdata_familymagazineinhome_avg","commercialdata_femaleorientedmagazineinhome_avg","commercialdata_financialmagazineinhome_avg","commercialdata_gardeningmagazineinhome_avg","commercialdata_healthfitnessmagazineinhome_avg"
360099622001008,10,2,13,15,15,0,10,21,3,NA,1,1,NA,NA,2
360010141002006,4,1,0,2,3,0,0,0,3,NA,NA,NA,NA,NA,NA
360471156003000,373,84,16,152,327,0,2,0,479,NA,1,1,NA,NA,1
360957405002068,6,1,2,4,5,0,4,6,0,NA,1,NA,NA,NA,2
360670111022004,2,1,2,1,6,0,0,1,0,NA,NA,NA,NA,NA,NA
360239710003025,6,0,1,5,4,0,4,6,0,NA,2,3,1,5,4
360593008001003,14,10,2,15,13,0,3,16,5,NA,1,1,NA,NA,1
360811333003007,19,18,7,23,23,0,6,24,7,NA,2,1,1,NA,2
360957406004054,3,1,7,7,6,0,1,11,0,NA,NA,NA,NA,NA,1
360550148043004,3,8,10,7,14,0,4,7,13,NA,2,NA,2,1,1
360894929002027,1,0,9,8,6,0,3,10,0,NA,2,NA,NA,1,1
360910625051037,4,1,2,5,2,0,0,3,1,NA,NA,NA,NA,NA,1
360110415001004,7,2,6,8,11,0,5,16,0,NA,1,NA,NA,1,2
361031106003024,15,10,7,17,18,0,6,24,5,NA,1,1,4,2,2
360050166001005,54,23,15,52,44,0,9,10,80,NA,1,1,2,3,2
361019615001083,2,1,7,6,5,0,2,10,0,NA,1,NA,NA,NA,1
361130707011002,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
360390811023118,5,5,3,8,6,0,4,10,0,NA,1,NA,NA,1,1
360810568002009,45,10,0,24,32,0,1,15,25,NA,1,NA,NA,NA,1
360594090002002,12,14,28,27,30,0,16,31,15,2,1,1,1,1,2
360191008003000,3,5,0,5,4,0,0,3,5,NA,NA,NA,NA,NA,NA
360010003001040,87,52,28,84,92,0,15,0,176,NA,1,1,1,2,2
361031594071028,8,13,8,14,19,0,7,13,7,NA,1,1,NA,NA,1
361031458053017,3,9,3,9,7,0,3,7,4,NA,NA,NA,NA,NA,1
360659401003001,15,11,41,36,34,0,5,56,5,NA,1,1,1,2,2
361031906032036,0,1,1,1,1,0,0,2,0,NA,1,NA,NA,NA,5
361031469022003,9,10,17,21,16,0,9,22,5,NA,1,1,1,1,3
360359705001055,6,2,5,6,8,0,5,10,2,NA,1,NA,NA,NA,4
360470513001003,159,44,9,112,110,0,7,8,210,1,1,1,6,1,1
360670118002010,9,15,22,19,29,0,8,39,0,NA,1,1,1,1,2
360830523041016,7,13,8,15,24,0,6,22,14,NA,1,NA,2,1,2
361031456033017,34,27,11,37,35,0,0,16,36,NA,NA,1,1,NA,2
361019630003000,1,0,2,1,2,0,0,1,0,NA,NA,NA,NA,NA,1
360550135071005,7,12,13,16,18,0,2,29,0,NA,1,1,1,NA,2
360471134001000,9,0,2,7,4,0,0,0,10,NA,NA,NA,NA,NA,1
360191007002006,2,0,0,0,2,0,0,0,2,NA,NA,NA,NA,NA,NA
360810814002000,94,31,2,63,65,1,1,23,89,NA,2,2,2,1,2
360810884004013,8,8,6,12,11,0,2,10,8,NA,1,NA,1,NA,3
360550136042008,4,9,10,14,11,0,4,20,0,NA,2,NA,1,3,1
360957404002092,2,1,5,6,3,0,4,8,0,NA,1,NA,NA,1,1
360811579014001,34,34,25,35,62,0,6,21,58,NA,1,1,1,1,2
360150103002026,6,2,9,7,10,0,6,13,3,NA,1,NA,2,1,2
360650227012024,8,4,23,15,23,0,1,24,0,3,1,1,1,NA,2
361019604002006,9,7,24,20,21,0,6,23,2,1,1,NA,1,1,1
361031354033007,10,20,10,22,23,0,9,34,0,NA,1,NA,1,NA,2
360110402001027,2,0,0,1,1,0,0,1,0,NA,NA,NA,1,2,NA
360271407002010,2,5,3,5,5,0,3,8,0,NA,NA,NA,NA,NA,2
