"geoid","party_dem","party_npp","party_rep","voters_gender_m","voters_gender_f","voters_gender_unknkown","commercialdatall_gun_owner","commercialdatall_home_owner_or_renter_likely_homeowner","commercialdatall_home_owner_or_renter_likely_renter","commercialdata_upscalebuyerinhome_avg","commercialdata_familymagazineinhome_avg","commercialdata_femaleorientedmagazineinhome_avg","commercialdata_financialmagazineinhome_avg","commercialdata_gardeningmagazineinhome_avg","commercialdata_healthfitnessmagazineinhome_avg"
360290093011005,24,10,9,24,22,0,9,27,4,NA,1,NA,1,NA,NA
360811579015004,38,20,12,35,37,1,3,20,36,NA,1,NA,1,NA,3
360239702005063,7,6,11,12,12,0,9,22,0,NA,1,1,1,3,3
360593010001023,15,12,13,20,24,0,7,30,0,1,1,1,2,1,2
360290056001005,18,9,3,15,18,0,0,0,29,NA,3,1,NA,NA,3
361190032002007,46,5,2,23,30,0,0,3,47,NA,2,1,NA,NA,1
360810566002005,61,14,13,44,46,0,0,27,48,NA,1,NA,2,1,1
360710112003008,4,6,1,5,7,0,1,8,0,NA,1,NA,NA,NA,3
360550132052019,16,14,8,22,17,0,6,28,3,NA,1,1,1,1,2
360810446021002,23,5,6,17,18,0,1,2,31,NA,1,NA,NA,NA,3
360570727001014,37,47,57,74,84,0,18,81,36,1,1,1,1,1,1
360910601011017,77,84,136,156,175,0,50,191,31,NA,1,1,1,2,2
360594132003011,15,17,13,16,30,0,5,27,9,NA,1,NA,1,NA,1
360550068002000,64,7,4,32,44,0,2,23,19,NA,1,NA,NA,NA,1
360810376003009,48,7,1,26,30,0,1,23,20,NA,1,NA,1,NA,1
360470854002000,53,7,5,28,37,0,6,23,34,NA,1,NA,NA,NA,1
360750215022063,1,0,3,1,3,0,0,0,4,NA,NA,NA,NA,NA,NA
360130360002005,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
360810566001001,81,16,3,47,57,0,4,15,83,NA,1,NA,NA,NA,1
360710127002001,15,5,8,11,18,0,4,13,5,NA,2,NA,3,NA,8
360850067001004,39,12,31,40,48,0,12,17,51,NA,2,1,NA,NA,2
360775901003169,0,2,2,3,1,0,1,3,0,NA,NA,NA,NA,NA,NA
360550096011010,5,2,0,3,4,0,0,5,1,NA,NA,NA,NA,NA,NA
360850170102002,45,32,47,66,61,0,13,72,21,NA,1,1,1,NA,1
360610048003000,126,42,13,90,96,0,3,18,150,2,1,1,2,NA,2
360179706021009,11,18,6,19,20,0,5,22,5,NA,NA,NA,NA,2,2
361031904012007,3,1,2,5,2,0,0,3,0,NA,1,NA,8,NA,5
361031702014000,5,12,6,12,14,0,1,10,6,NA,1,1,2,1,1
361190126004011,38,12,11,27,36,0,8,31,17,NA,1,NA,1,NA,2
360650230002024,0,0,2,1,1,0,0,2,0,NA,2,1,NA,NA,1
361190149073010,32,19,14,34,35,0,12,40,19,NA,1,1,1,2,3
360430115012070,2,1,0,1,2,0,1,2,0,NA,1,NA,NA,3,2
360610072001000,348,167,100,258,377,2,19,72,482,NA,1,1,2,NA,2
360319612006023,2,2,1,4,1,0,0,0,5,NA,NA,NA,NA,NA,NA
360750216021019,6,8,11,10,16,0,3,9,10,NA,2,1,NA,1,2
360050376002004,153,25,7,82,107,0,2,1,185,1,1,2,1,2,2
361031460012034,20,10,2,20,13,0,0,11,17,NA,1,NA,NA,NA,NA
361031581022011,47,35,36,69,55,0,14,74,9,NA,1,NA,2,NA,1
361031702011052,2,0,5,2,5,0,4,6,0,NA,NA,NA,1,NA,1
360290043007001,99,23,3,58,70,0,4,28,61,NA,1,2,1,NA,1
361031581041003,36,42,40,59,68,0,18,78,9,NA,1,1,3,2,1
360179705003022,4,1,2,3,4,0,0,6,0,NA,1,NA,1,NA,3
361019629001020,7,7,6,11,10,0,4,7,11,NA,NA,NA,NA,NA,1
361150860001055,1,0,0,1,0,0,1,1,0,NA,NA,NA,NA,NA,NA
360894902004010,7,10,9,11,15,0,1,5,12,NA,2,1,2,1,3
360594059004010,28,11,20,27,33,0,9,28,20,1,2,NA,1,NA,2
360550066002002,59,20,1,38,45,0,1,17,33,1,1,1,4,NA,2
360670111023001,1,0,1,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA
360259701001019,3,6,5,6,10,0,2,3,6,NA,1,NA,NA,NA,1
360595190002002,35,19,16,36,43,0,12,54,10,1,1,1,1,2,1
360290094015004,17,4,5,13,17,0,3,22,0,NA,2,1,1,1,3
361031457014011,19,10,15,20,27,0,4,10,27,NA,2,NA,3,2,3
360450608046213,0,2,2,2,2,0,0,0,0,NA,NA,NA,NA,NA,NA
361170203011034,3,14,4,12,12,0,9,16,2,2,2,1,1,2,2
360070130003040,8,6,14,14,17,0,5,23,0,NA,2,1,2,2,2
360550153044007,3,4,1,7,2,0,0,0,6,NA,1,NA,NA,NA,NA
361031114011002,21,5,11,21,20,0,11,33,0,NA,1,1,2,1,1
360430115012064,4,7,32,23,25,0,12,22,0,NA,1,NA,NA,1,2
360050053001000,1,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA
360750212004023,3,0,6,8,2,0,0,5,3,NA,1,NA,NA,1,1
361031117032022,3,11,4,10,11,0,2,10,7,NA,NA,NA,NA,NA,2
361170201011045,2,4,4,5,5,0,3,9,0,NA,NA,NA,NA,NA,1
360593009002012,20,6,3,14,15,0,10,21,0,1,1,1,1,1,2
360272207001019,2,3,0,3,2,0,0,0,0,NA,NA,NA,NA,NA,NA
360710117011003,18,18,37,42,39,0,18,57,10,NA,1,1,1,3,1
360595173011015,17,5,8,15,18,0,7,19,7,1,1,1,4,1,2
360550105003000,52,22,30,52,61,0,15,80,9,1,2,1,1,1,2
361170208001032,0,0,1,1,0,0,0,1,0,NA,NA,NA,NA,NA,2
360670053002012,34,10,2,18,28,0,1,2,36,NA,1,NA,NA,NA,NA
360099601002038,4,2,4,6,5,0,5,8,3,NA,1,NA,NA,NA,1
360670119001001,85,91,122,147,178,0,24,240,16,1,1,1,1,1,1
361190120001014,0,2,2,2,2,0,0,3,0,NA,NA,NA,NA,NA,NA
361190115002012,5,2,1,5,3,0,1,2,0,NA,NA,NA,NA,NA,NA
360539406002041,2,1,8,7,6,0,3,8,0,NA,NA,NA,NA,NA,1
360290070001002,3,1,0,2,2,0,0,0,4,NA,NA,NA,NA,NA,NA
360210019001035,0,1,1,1,3,0,1,2,0,NA,NA,NA,NA,NA,1
361031462022026,25,15,1,17,24,0,1,10,27,NA,3,NA,1,1,3
361059516002074,0,1,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA
360810657021006,16,24,25,30,38,1,4,13,46,NA,2,NA,1,NA,3
360595183002013,3,2,1,2,4,0,3,6,0,NA,NA,1,NA,NA,NA
360130354002008,5,2,1,4,5,0,4,7,0,1,2,NA,NA,NA,2
360191018003080,1,1,2,2,2,0,1,3,0,NA,NA,NA,NA,NA,NA
360957404003083,1,0,2,2,1,0,0,0,3,NA,NA,NA,NA,NA,1
360319611001014,1,3,5,5,4,0,3,8,0,NA,1,NA,NA,2,6
360595217002009,9,4,20,20,16,0,6,21,7,NA,1,1,1,3,2
360730408021055,3,2,6,6,5,0,5,7,0,NA,1,NA,NA,NA,1
360710122002028,20,12,15,22,30,0,4,23,22,3,2,1,1,2,2
360290155032015,19,8,12,20,29,0,5,11,10,NA,1,1,1,1,2
360050351003007,9,1,7,8,9,0,6,1,14,NA,NA,NA,NA,NA,NA
361031352082008,12,11,15,22,22,0,12,37,3,NA,1,1,2,2,2
361231503002020,3,2,4,7,2,0,1,6,0,NA,NA,NA,NA,NA,1
360050358001001,53,8,2,23,44,0,1,3,61,1,1,1,1,1,2
361031474013031,4,8,6,11,7,0,1,14,0,NA,1,1,1,NA,1
360259707003012,2,2,13,11,8,0,3,12,1,NA,1,NA,NA,1,2
360630244041012,32,12,45,36,53,0,10,37,49,NA,1,1,1,2,1
361031103003003,36,31,34,57,53,0,9,59,24,2,1,1,4,1,2
360670053001002,45,14,2,27,37,0,0,4,50,NA,2,NA,1,2,1
360130368003008,11,10,30,26,30,0,16,37,3,NA,1,1,2,2,3
360730405002030,3,0,4,2,5,0,0,3,1,NA,NA,NA,NA,NA,1
360290147012002,32,17,42,47,54,0,27,84,4,1,1,1,1,NA,2
360910607013008,8,11,37,31,31,0,18,34,10,NA,1,1,1,1,1
360039513003052,3,0,6,4,5,0,2,5,0,NA,NA,NA,NA,NA,1
361190097013021,24,12,11,22,26,0,9,34,3,1,3,1,1,1,3
360010022002001,81,19,1,50,56,0,5,19,79,NA,1,1,1,1,1
361031246021028,4,5,7,10,8,0,0,1,12,NA,NA,NA,NA,NA,1
360470802002002,128,18,3,63,88,0,4,0,149,NA,1,1,2,NA,1
360179709003051,4,3,15,12,12,0,0,7,14,NA,1,NA,NA,1,2
360870101014009,2,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA
361031700012033,1,4,12,9,8,0,3,16,0,3,2,NA,1,1,1
361070207033023,3,2,7,7,6,0,5,12,0,NA,1,NA,NA,NA,1
360070146002019,15,9,5,13,18,0,3,21,3,NA,1,1,4,NA,2
360811417002001,49,27,16,42,57,0,6,42,38,NA,2,NA,1,2,2
360910628001063,7,8,1,8,9,0,0,10,5,1,1,NA,1,2,1
360670168022012,0,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA
360099614001029,0,0,1,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA
360039501001010,1,2,5,3,5,0,1,8,0,NA,NA,NA,NA,1,1
360850226004013,3,2,10,7,8,0,4,9,2,1,1,1,2,NA,6
360319604982028,2,0,3,3,3,0,0,5,0,NA,NA,NA,NA,NA,NA
360039505001071,5,5,12,10,13,0,6,13,1,NA,1,NA,2,NA,2
361031478043023,16,6,9,17,20,0,5,32,4,NA,1,NA,1,1,2
361190120002043,4,10,18,15,21,0,2,27,2,NA,1,NA,1,NA,1
361019603003008,0,0,2,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA
360830522041050,0,0,0,1,1,0,2,2,0,NA,1,NA,NA,NA,NA
360811447002013,35,8,0,17,28,0,0,10,31,3,1,1,2,1,3
360850213002000,7,0,2,3,6,0,0,0,9,NA,NA,NA,NA,NA,NA
360259711001031,2,1,1,2,2,0,0,4,0,NA,NA,NA,NA,NA,1
361031906011021,8,9,5,9,13,0,2,10,0,NA,1,1,3,1,1
361170210003013,0,5,0,3,2,0,1,3,0,2,1,NA,NA,1,1
360810169001000,84,26,17,65,67,0,4,5,117,NA,1,1,2,NA,2
360810232003008,86,22,8,66,52,0,1,10,99,NA,1,NA,2,NA,3
360650242002017,3,0,5,5,5,0,1,9,0,NA,1,NA,NA,NA,2
360670003001010,35,17,14,31,35,0,4,26,14,NA,1,1,NA,NA,1
360670142003023,14,22,15,32,28,0,9,45,3,1,1,1,2,1,3
360595227001026,14,19,18,24,29,0,6,32,10,NA,1,1,2,3,2
360290079022006,17,6,20,20,24,0,6,33,0,1,1,1,NA,3,1
360957406003013,0,0,5,2,3,0,0,5,0,NA,2,NA,1,1,1
360594082002012,10,17,19,27,21,0,7,20,15,NA,1,1,1,1,1
360010135072004,15,16,8,18,23,0,3,28,7,NA,1,NA,NA,3,1
360470628004026,12,14,10,23,17,0,2,21,8,NA,1,1,1,2,4
360319612003090,1,1,2,3,2,0,0,4,0,NA,NA,NA,NA,NA,NA
361170208003029,8,9,16,17,18,0,7,15,10,NA,1,NA,NA,NA,1
360810650001010,81,9,3,43,53,0,10,40,45,NA,1,1,1,NA,2
360270100001013,3,1,2,4,3,0,1,4,0,NA,1,NA,2,1,4
360259704001096,0,0,5,3,2,0,1,5,0,NA,1,NA,2,NA,4
360710016004029,301,113,87,202,333,0,42,66,430,NA,1,1,1,1,1
361190050021005,7,6,1,8,6,0,0,10,0,NA,1,NA,1,NA,2
360595204022011,21,15,18,29,29,0,13,35,10,1,2,NA,1,1,3
360811039003007,18,12,7,20,17,0,2,22,11,3,1,NA,NA,NA,1
360810656002010,43,8,1,19,34,0,1,11,31,NA,1,NA,1,NA,1
360550002002009,1,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA
360550149012028,23,17,15,34,30,0,8,29,15,NA,1,1,NA,NA,1
360010146092010,27,4,7,19,20,0,4,16,18,NA,1,1,2,2,2
360710110002021,7,6,3,8,10,0,2,10,0,NA,1,NA,NA,NA,1
360594084001012,10,10,22,21,23,0,5,24,12,NA,1,NA,NA,NA,2
361031470032015,6,6,20,16,17,0,5,14,12,2,1,1,NA,NA,2
360550135051002,5,6,6,7,10,0,4,15,0,NA,NA,NA,NA,NA,1
360630201003011,6,1,10,7,11,0,0,12,0,NA,3,1,1,NA,4
360179702001026,0,1,1,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA
360979503001044,5,0,4,4,5,0,3,4,1,NA,NA,NA,NA,NA,1
360811291023002,17,18,9,19,27,0,4,17,14,NA,2,NA,1,NA,2
360810262001001,123,22,1,65,84,1,1,30,96,1,1,NA,NA,NA,1
360595197024011,24,11,2,15,23,0,2,21,9,NA,1,1,NA,NA,2
360830526011017,11,13,16,25,22,0,6,16,19,NA,1,1,1,3,2
361190149031000,7,11,13,19,13,0,6,25,0,NA,1,1,1,NA,2
360593029001015,34,28,33,47,51,0,19,60,16,NA,1,1,1,2,2
361150820012015,0,0,1,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA
360650209002006,10,14,4,16,14,0,4,3,21,NA,1,NA,1,1,NA
360010133003030,20,3,0,10,13,0,5,10,8,NA,1,NA,2,NA,3
360470406002001,107,60,26,88,114,0,4,6,187,NA,2,1,1,1,1
360810088002011,81,46,24,63,92,0,3,22,128,NA,1,1,1,2,2
360850114011008,10,9,14,16,18,0,6,12,18,NA,1,NA,1,NA,2
360910611002016,15,7,10,20,12,0,2,19,8,1,1,NA,NA,1,1
361190147032012,21,22,16,36,33,0,11,39,13,NA,2,1,3,NA,2
361031236001024,24,21,21,34,38,0,6,47,6,NA,1,2,1,2,1
361119520002024,11,5,0,11,5,0,1,0,12,NA,NA,NA,NA,NA,2
360710111011013,9,6,10,13,12,0,0,14,3,1,3,1,2,1,3
361190067003037,4,4,6,5,9,0,8,12,0,1,2,NA,3,NA,NA
360790114002000,12,11,14,25,19,0,3,15,15,NA,1,NA,2,3,1
361119524002002,5,0,1,4,2,0,0,3,0,NA,NA,2,NA,NA,7
360894926001092,4,5,4,6,8,0,4,4,4,NA,1,1,NA,NA,2
360594117002030,15,12,9,21,17,0,8,22,8,NA,1,NA,1,NA,3
360290149033045,0,1,11,8,6,0,3,13,0,1,NA,NA,NA,2,2
360290133003007,19,10,15,21,29,0,11,38,0,NA,1,1,2,4,3
360870115021036,15,8,8,17,14,0,7,11,0,NA,1,NA,2,NA,NA
360191020002047,3,0,2,3,2,0,0,5,0,NA,2,NA,1,2,4
360710117021027,1,4,0,2,3,0,0,4,0,NA,NA,NA,NA,NA,NA
360191006005009,10,13,1,14,11,0,2,17,5,NA,1,NA,1,1,2
360259714003017,13,8,18,19,24,0,4,20,7,NA,2,1,3,1,3
360894924001016,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA
360811507013006,17,7,14,16,25,0,5,30,6,NA,1,NA,1,1,1
360810189002003,1,0,1,2,1,0,0,1,0,NA,NA,NA,NA,NA,NA
360670145001081,0,2,0,1,1,0,0,2,0,NA,NA,NA,NA,NA,1
360630242022010,5,1,6,10,5,0,3,7,3,2,NA,NA,1,NA,1
361090006002029,17,18,9,10,36,0,0,2,44,NA,1,NA,NA,1,1
360930325041010,2,0,0,1,1,0,0,2,0,NA,NA,1,NA,NA,2
360191013002012,11,10,1,13,10,0,1,0,23,NA,NA,1,NA,NA,2
360319608002076,6,3,10,8,14,0,6,12,0,NA,5,2,1,1,3
360594077004005,19,15,16,24,31,0,10,14,24,NA,1,NA,NA,NA,1
360050121011003,107,19,2,56,73,0,2,0,129,NA,2,1,2,1,2
360690503011083,3,2,4,6,3,0,1,3,6,NA,NA,1,1,NA,1
360010135052019,2,0,4,4,3,0,0,5,0,NA,3,1,NA,NA,3
360319612001039,3,0,0,1,4,0,2,4,1,NA,NA,NA,1,NA,1
360594053013017,39,31,52,50,73,0,16,45,65,NA,1,1,2,1,2
361170215023033,8,3,8,10,12,0,4,7,9,NA,1,NA,NA,1,1
361190077001043,12,5,1,10,10,0,3,2,10,NA,3,1,5,2,1
360290153023023,4,0,0,3,3,0,2,1,3,3,4,2,1,1,7
360670054003006,24,10,1,21,14,0,2,8,21,NA,NA,NA,NA,NA,NA
361031225012008,44,9,3,20,37,0,3,17,27,NA,NA,NA,NA,NA,1
360595183004002,29,17,17,30,34,0,12,33,21,1,1,1,1,1,2
360550125003003,2,0,1,1,2,0,0,1,0,NA,1,NA,NA,NA,1
360290125013006,48,10,7,33,39,0,5,37,13,1,1,1,1,2,3
360593012002011,53,15,24,51,48,0,22,42,36,1,1,1,1,1,2
360870117002019,10,13,9,19,22,0,7,18,16,NA,1,1,1,NA,4
360894923003041,0,0,1,0,1,0,1,1,0,NA,NA,NA,NA,NA,NA
361019601001097,0,3,1,2,2,0,0,4,0,NA,NA,1,NA,NA,3
361190024053006,10,8,8,15,11,0,0,3,15,NA,1,NA,1,NA,1
360850208043017,10,7,22,18,23,0,7,18,10,NA,2,1,1,NA,1
360810357003005,15,9,2,7,21,0,0,0,28,NA,NA,NA,NA,NA,NA
360290114001000,6,5,6,9,9,0,0,5,10,NA,2,NA,NA,NA,1
360750214013043,5,15,26,24,25,0,3,28,7,NA,1,NA,1,NA,2
360650241021037,6,2,10,9,9,0,3,13,0,NA,1,NA,5,2,2
360750211021006,17,12,31,37,37,0,11,47,11,NA,1,1,2,3,1
360957407001040,5,4,8,10,8,0,0,14,0,NA,1,NA,NA,NA,2
360550086001015,40,20,23,41,45,0,8,44,11,NA,1,1,1,1,2
361090009002024,6,2,0,3,5,0,0,0,8,NA,NA,NA,NA,NA,NA
360070124003160,3,1,4,4,4,0,2,1,6,NA,NA,NA,NA,NA,NA
360550083012015,24,8,3,17,21,0,5,16,8,NA,NA,NA,NA,NA,1
360570707001017,10,2,8,7,14,0,2,10,7,NA,1,NA,3,3,1
360270300001063,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
360390807002016,8,2,7,8,9,0,0,1,14,NA,1,NA,1,1,NA
360070017003012,17,9,26,32,30,0,8,40,11,1,1,NA,NA,1,1
360670150001026,1,1,0,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA
360594163002013,0,0,3,1,2,0,0,0,0,NA,NA,NA,NA,NA,NA
360670168012071,0,0,2,1,1,0,0,2,0,NA,1,NA,NA,1,1
360595205023015,1,3,5,6,3,0,4,8,0,NA,2,2,2,1,1
360339512001006,10,1,14,10,16,0,3,13,0,NA,3,1,NA,NA,4
360290008002011,63,23,18,55,59,0,11,35,57,NA,1,1,3,1,2
360630243032026,3,0,0,1,2,0,1,1,2,1,1,1,NA,3,6
360179708014069,0,2,0,1,1,0,0,2,0,NA,NA,NA,NA,NA,NA
360750211042000,7,3,6,6,13,0,4,11,6,NA,1,1,2,1,7
360810358003008,50,7,0,28,30,0,3,7,45,NA,3,NA,2,1,2
360010011001003,8,1,0,7,3,0,0,0,7,NA,NA,NA,NA,NA,NA
360593027001003,20,17,18,27,31,0,3,23,22,NA,1,1,3,1,1
360670154002004,8,9,14,16,24,0,8,20,1,NA,2,1,1,NA,2
361190145001010,249,105,109,190,302,0,61,302,78,1,1,1,2,1,2
360670147001011,15,7,12,15,20,0,7,16,13,NA,1,NA,NA,NA,1
360039505004023,0,1,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA
361031460022004,46,14,5,30,35,0,2,9,43,NA,2,1,NA,NA,2
360179706024008,1,3,2,3,3,0,1,5,0,NA,NA,NA,NA,NA,NA
360210004023020,7,1,7,6,10,0,1,10,0,NA,1,NA,NA,NA,2
361031108032007,12,3,2,9,11,0,0,9,7,NA,1,NA,1,1,1
360870123002000,42,12,2,34,28,0,0,3,52,NA,1,NA,NA,NA,2
360594105003025,6,3,3,4,8,0,0,0,12,NA,NA,NA,NA,NA,NA
360910625012036,35,45,45,70,62,0,30,93,16,1,1,1,2,2,2
360910620001022,16,11,19,28,23,0,6,29,4,NA,1,1,1,1,2
361150890003026,14,4,10,15,15,0,5,18,5,NA,1,NA,1,NA,2
360670158002063,1,1,2,3,1,0,0,3,0,NA,NA,NA,NA,NA,NA
360050462017000,1809,267,76,887,1319,0,49,10,2170,1,1,1,1,2,1
360179701001058,0,1,3,2,6,0,0,1,0,NA,NA,NA,NA,NA,NA
360750207023025,4,11,24,21,19,0,2,25,4,NA,1,NA,1,2,3
360810328001002,115,18,4,46,94,0,0,33,89,NA,1,1,1,NA,2
360510312001000,0,1,3,2,2,0,3,3,0,NA,NA,NA,NA,NA,2
360710143024012,11,6,0,10,7,0,4,10,2,NA,1,NA,NA,NA,1
360710142013037,1,1,1,3,0,0,1,1,0,NA,NA,NA,NA,NA,NA
360050326002002,96,20,28,68,82,0,6,22,118,NA,1,1,1,1,1
360894917004005,2,0,10,7,8,0,2,12,0,1,1,1,NA,NA,1
360272210014002,54,27,38,61,68,0,24,79,17,NA,2,1,1,1,2
360810320004011,25,3,1,9,20,0,0,2,27,NA,NA,NA,NA,NA,NA
360271407005004,0,0,1,1,0,0,0,1,0,NA,2,NA,NA,3,3
360110403004027,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
360290164002001,3,2,2,5,3,0,2,5,0,NA,2,1,1,NA,2
360894903003005,40,19,18,46,38,0,16,50,11,1,2,2,1,2,2
360530307001000,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA
360594082005008,20,11,18,23,27,0,8,25,14,NA,3,1,6,1,3
360470515001009,160,35,12,91,119,0,4,3,203,NA,1,1,2,1,1
360595179022011,4,5,9,8,10,0,5,15,0,NA,1,NA,1,NA,2
360039508002133,2,2,4,6,3,0,0,6,0,NA,1,NA,NA,NA,1
361031584011018,8,6,5,7,12,0,4,8,5,NA,NA,NA,NA,NA,1
360510311004102,5,1,11,13,6,0,5,10,0,NA,1,NA,NA,NA,2
360630230011003,5,7,9,16,9,0,2,14,2,NA,1,1,NA,NA,4
360894925005040,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
360610206002004,1,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA
360550095002014,71,6,2,39,40,0,6,15,55,NA,2,1,4,NA,1
360999502001011,0,1,1,2,0,0,0,1,0,NA,1,NA,NA,NA,1
360690505001018,0,0,2,1,1,0,0,2,0,NA,1,NA,NA,NA,2
360150112003004,32,25,123,98,101,0,55,152,16,2,1,1,1,1,2
361170210004093,1,3,1,4,1,0,0,1,4,NA,NA,NA,NA,NA,NA
360750212002049,3,6,14,10,14,0,5,13,3,NA,2,NA,5,1,1
360130373001102,1,7,4,8,7,0,2,12,0,NA,1,NA,NA,NA,2
360610108001000,137,87,30,126,135,0,7,10,237,NA,1,1,1,1,1
360894928003005,0,2,3,2,3,0,3,3,0,NA,NA,NA,1,NA,1
360595195002003,13,16,11,17,27,0,4,32,1,NA,1,NA,NA,NA,1
361031594102019,115,71,30,91,134,0,9,67,53,NA,1,NA,1,2,2
360510311002001,1,1,7,5,5,0,1,10,0,NA,1,NA,NA,4,1
361190103003009,65,27,12,49,57,0,4,6,91,NA,1,1,2,1,1
360630244043021,7,5,12,16,13,0,6,22,2,NA,1,1,3,NA,2
360470364001010,17,13,12,21,22,0,1,11,28,NA,NA,NA,NA,NA,1
360290031003004,23,6,0,15,14,0,0,7,12,NA,1,NA,1,NA,2
360550078021019,50,16,11,36,45,0,13,56,0,1,1,1,3,2,1
360010011001142,9,3,2,5,9,0,0,1,13,NA,NA,NA,1,NA,4
360979503003030,2,1,1,3,1,0,0,1,3,NA,NA,NA,NA,NA,1
360130306001014,1,0,4,3,3,0,1,3,3,NA,NA,NA,NA,NA,1
360811385014013,22,30,16,35,35,0,8,9,53,NA,1,1,1,1,2
360470508031002,381,64,8,197,270,0,3,0,463,NA,1,1,1,NA,2
360070124003021,0,0,4,2,2,0,0,2,0,NA,NA,NA,NA,NA,NA
360290044013005,91,23,5,61,63,0,4,44,55,NA,1,NA,2,NA,2
360550145012034,4,3,7,6,8,0,2,13,0,NA,1,NA,NA,1,2
361031592031015,0,3,7,4,7,0,3,8,0,NA,NA,NA,NA,NA,NA
361031224051034,4,0,0,2,2,0,0,4,0,NA,1,1,NA,NA,3
361059520003105,2,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA
360810638001007,44,8,2,20,35,0,1,5,43,NA,2,NA,1,NA,1
361170216002086,0,4,1,2,3,0,3,5,0,NA,NA,NA,NA,1,NA
360470553003004,47,15,8,35,35,0,1,1,57,NA,1,NA,NA,NA,1
361190071005022,33,12,8,22,32,0,3,13,17,NA,NA,NA,1,NA,1
360050210024000,275,39,11,152,183,1,3,38,229,NA,1,1,1,1,1
360550101002005,3,2,8,7,7,0,1,10,0,NA,NA,NA,NA,NA,1
360610033001009,91,33,12,64,73,0,0,16,110,1,1,NA,NA,1,1
361031234011017,39,19,23,36,49,0,9,41,30,1,1,1,3,NA,2
360499506002045,1,0,4,2,4,0,0,2,0,NA,NA,NA,NA,NA,NA
361031244012002,32,43,47,50,75,0,20,49,49,NA,1,NA,1,2,1
360550121004017,3,2,1,1,6,0,0,4,3,1,4,NA,1,NA,1
360210009002062,3,1,3,6,1,0,1,1,4,NA,1,NA,NA,NA,1
360010146074015,44,16,23,36,51,0,17,52,17,2,3,1,1,1,1
360271902031007,50,23,36,57,61,0,16,64,25,NA,2,1,1,1,2
360670163001008,23,17,24,30,38,0,10,62,0,NA,2,1,1,1,2
360810556001002,109,58,19,86,107,0,10,55,106,NA,1,NA,NA,1,1
361119547001069,2,2,7,6,5,0,0,1,0,NA,NA,NA,NA,NA,NA
361190149081026,16,36,25,40,40,0,14,60,2,NA,1,NA,1,NA,1
360130374002091,5,0,2,3,4,0,1,6,0,NA,1,NA,NA,NA,1
360450607003048,0,0,2,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA
360690503024028,0,3,4,3,5,0,2,6,0,NA,NA,NA,NA,NA,NA
360790115004022,1,1,3,3,2,0,2,5,0,NA,2,NA,NA,NA,1
361059524002012,2,0,5,5,3,0,1,4,2,NA,NA,NA,1,NA,1
360290140002018,29,18,25,37,40,0,7,43,15,1,1,1,3,1,2
360470180002002,107,82,49,112,135,0,11,8,228,NA,1,1,2,1,1
360594055002009,8,6,28,21,22,0,4,28,6,NA,1,2,1,NA,1
361090017001022,7,3,1,7,4,0,0,9,0,NA,2,2,1,NA,2
360594148002007,0,2,5,4,4,0,0,4,1,NA,2,NA,1,NA,1
360999507003058,1,1,4,3,3,0,2,3,0,NA,1,NA,3,NA,2
360050426005002,128,14,4,55,93,0,2,9,125,NA,1,2,1,1,3
360670109001001,20,22,21,38,34,0,13,45,15,1,1,1,2,1,2
360979502002092,2,0,0,1,1,0,0,2,0,NA,1,NA,NA,NA,NA
361190011023003,92,45,14,60,99,0,5,5,146,NA,1,1,1,1,2
360471160002002,216,40,10,115,164,0,4,8,269,1,1,1,1,2,2
361190021033011,8,23,15,25,27,0,9,33,0,NA,1,1,4,1,2
360810803021008,19,1,1,10,14,0,0,6,11,NA,NA,NA,NA,NA,2
360830521031029,8,10,13,18,14,0,4,20,2,NA,1,1,NA,NA,1
361031907082011,3,4,4,8,3,0,2,2,5,NA,NA,NA,NA,NA,NA
360710141023016,62,37,38,64,80,0,13,81,16,NA,1,1,1,1,1
360730404001007,16,16,18,20,36,0,8,18,34,NA,1,1,1,NA,2
361059513003039,0,2,2,2,4,0,1,1,0,NA,2,NA,NA,1,NA
360594136004005,23,10,12,19,28,0,4,23,8,NA,1,1,1,1,2
